Time (s),Velocity (rad/s),Voltage (V)
3.2863717079162598,0.33,10.0
3.3073368072509766,0.3,10.0
3.3273675441741943,0.28,10.0
3.347693920135498,0.25,10.0
3.3683831691741943,0.23,10.0
3.4035024642944336,0.21,10.0
3.4085519313812256,0.19,10.0
3.4283745288848877,0.17,10.0
3.4494993686676025,0.16,10.0
3.469499349594116,0.14,10.0
3.4898693561553955,0.13,10.0
3.5105626583099365,0.12,10.0
3.5303702354431152,0.11,10.0
3.5504024028778076,0.1,10.0
3.5714423656463623,0.09,10.0
3.591209650039673,0.08,10.0
3.6113147735595703,0.07,10.0
3.6314291954040527,0.07,10.0
3.6522867679595947,0.06,10.0
3.672508955001831,0.06,10.0
3.692535638809204,0.05,10.0
3.713543653488159,0.05,10.0
3.73341965675354,0.04,10.0
3.753573179244995,0.04,10.0
3.773557186126709,0.03,10.0
3.8095879554748535,0.03,10.0
3.8143014907836914,0.03,10.0
3.834475517272949,0.03,10.0
3.8554649353027344,0.02,10.0
3.875549793243408,0.02,10.0
3.895705461502075,0.02,10.0
3.9164812564849854,0.02,10.0
3.936553478240967,0.02,10.0
3.9564685821533203,0.01,10.0
3.97643780708313,0.01,10.0
4.0125346183776855,0.01,10.0
4.017462491989136,0.01,10.0
4.037621736526489,0.01,10.0
4.058527946472168,0.01,10.0
4.078583002090454,0.01,10.0
4.098500490188599,0.01,10.0
4.118602275848389,0.01,10.0
4.139483213424683,0.01,10.0
4.15962553024292,0.01,10.0
4.1794397830963135,0.01,10.0
4.200468063354492,0.0,10.0
4.22046160697937,0.0,10.0
4.240460634231567,0.0,10.0
4.2613866329193115,0.0,10.0
4.281500339508057,0.0,10.0
4.301507472991943,0.0,10.0
4.321526527404785,0.0,10.0
4.342562675476074,0.0,10.0
4.362579584121704,0.0,10.0
4.382537841796875,0.0,10.0
4.417698621749878,0.0,10.0
4.423438549041748,0.0,10.0
4.443438768386841,0.0,10.0
4.463509798049927,0.0,10.0
4.484418869018555,0.0,10.0
4.504664659500122,0.0,10.0
4.524650812149048,0.0,10.0
4.545530319213867,0.0,10.0
4.565367698669434,0.0,10.0
4.585407257080078,0.0,10.0
4.620376110076904,0.0,10.0
4.62647008895874,0.0,10.0
4.646633148193359,0.0,10.0
4.6665871143341064,0.0,10.0
4.687381982803345,0.0,10.0
4.7074689865112305,0.0,10.0
4.727494716644287,0.0,10.0
4.748368740081787,0.0,10.0
4.76847767829895,0.0,10.0
4.788594484329224,0.0,10.0
4.808673858642578,0.0,10.0
4.829597234725952,0.0,10.0
4.849717140197754,0.0,10.0
4.869650363922119,0.0,10.0
4.890658378601074,0.0,10.0
4.9106974601745605,0.0,10.0
4.930600166320801,0.0,10.0
4.950497388839722,0.0,10.0
4.971444606781006,0.0,10.0
4.99151349067688,0.0,10.0
5.01157808303833,0.0,10.0
5.032509088516235,0.0,10.0
5.052558898925781,0.0,10.0
5.0726330280303955,0.0,10.0
5.093492269515991,0.0,10.0
5.113556385040283,0.0,10.0
5.133606433868408,0.0,10.0
5.153663396835327,0.0,10.0
5.174346446990967,0.0,10.0
5.194614887237549,0.0,10.0
5.214612722396851,0.0,10.0
5.235458850860596,0.0,10.0
5.255556344985962,0.0,10.0
5.275500535964966,0.0,10.0
5.295621871948242,0.0,10.0
5.316581964492798,0.0,10.0
5.3365302085876465,0.0,10.0
5.35644268989563,0.0,10.0
5.37754225730896,0.0,10.0
5.39770245552063,0.0,10.0
5.432457208633423,0.0,10.0
5.43833589553833,0.0,10.0
5.458490610122681,0.0,10.0
5.478267431259155,0.0,10.0
5.49886679649353,0.0,10.0
5.519390344619751,0.0,10.0
5.539344072341919,0.0,10.0
5.5594987869262695,0.0,10.0
5.580344915390015,0.0,10.0
5.600351810455322,0.0,10.0
5.635577201843262,0.0,10.0
5.64061975479126,0.0,10.0
5.661527156829834,0.0,10.0
5.681474924087524,0.0,10.0
5.701587915420532,0.0,10.0
5.722503423690796,0.0,10.0
5.742601156234741,0.0,10.0
5.762567520141602,0.0,10.0
5.78339958190918,0.0,10.0
5.8035290241241455,0.0,10.0
5.823447227478027,0.0,10.0
5.843627214431763,0.0,10.0
5.864527225494385,0.0,10.0
5.884572982788086,0.0,10.0
5.904596567153931,0.0,10.0
5.925480842590332,0.0,10.0
5.945495843887329,0.0,10.0
5.965456485748291,0.0,10.0
5.9855029582977295,0.0,10.0
6.006372451782227,0.0,10.0
6.0414958000183105,0.0,10.0
6.046411991119385,0.0,10.0
6.067453384399414,0.0,10.0
6.087505578994751,0.0,10.0
6.107633352279663,0.0,10.0
6.128497362136841,0.0,10.0
6.148604393005371,0.0,10.0
6.1686766147613525,0.0,10.0
6.18862509727478,0.0,10.0
6.209475040435791,0.0,10.0
6.244344472885132,0.0,10.0
6.249690055847168,0.0,10.0
6.270425319671631,0.0,10.0
6.290311098098755,0.0,10.0
6.310275316238403,0.0,10.0
6.330594778060913,0.0,10.0
6.351630449295044,0.0,10.0
6.371445178985596,0.0,10.0
6.391734838485718,0.0,10.0
6.412535667419434,0.0,10.0
6.4322240352630615,0.0,10.0
6.45223331451416,0.0,10.0
6.472552299499512,0.0,10.0
6.493279695510864,0.0,10.0
6.513587713241577,0.0,10.0
6.533303260803223,0.0,10.0
6.554341077804565,0.0,10.0
6.57436466217041,0.0,10.0
6.594364881515503,0.0,10.0
6.615357875823975,0.0,10.0
6.635548114776611,0.0,10.0
6.655482769012451,0.0,10.0
6.675522565841675,0.0,10.0
6.696224212646484,0.0,10.0
6.716715574264526,0.0,10.0
6.736658334732056,0.0,10.0
6.757514476776123,0.0,10.0
6.777472496032715,0.0,10.0
6.797532796859741,0.0,10.0
6.8176774978637695,0.0,10.0
6.85342001914978,0.0,10.0
6.8582985401153564,0.0,10.0
6.8785247802734375,0.0,10.0
6.899508953094482,0.0,10.0
6.919477701187134,0.0,10.0
6.939545631408691,0.0,10.0
6.960350513458252,0.0,10.0
6.980289936065674,0.0,10.0
7.000432729721069,0.0,10.0
7.02053165435791,0.0,10.0
7.056430816650391,0.0,10.0
7.061295747756958,0.0,10.0
7.081639528274536,0.0,10.0
7.102511167526245,0.0,10.0
7.122612714767456,0.0,10.0
7.143659830093384,0.0,10.0
7.162634372711182,0.0,10.0
7.1835386753082275,0.0,10.0
7.203504800796509,0.0,10.0
7.223688125610352,0.0,10.0
7.244433403015137,0.0,10.0
7.2645814418792725,0.0,10.0
7.284395217895508,0.0,10.0
7.305297374725342,0.0,10.0
7.325353622436523,0.0,10.0
7.3455305099487305,0.0,10.0
7.365615606307983,0.0,10.0
7.386488676071167,0.0,10.0
7.406348943710327,0.0,10.0
7.426393985748291,0.0,10.0
7.461394309997559,0.0,10.0
7.467344522476196,0.0,10.0
7.487580060958862,0.0,10.0
7.5075578689575195,0.0,10.0
7.528399705886841,0.0,10.0
7.548455715179443,0.0,10.0
7.568398714065552,0.0,10.0
7.589378595352173,0.0,10.0
7.609414577484131,0.0,10.0
7.629554271697998,0.0,10.0
7.664649724960327,0.0,10.0
7.670448541641235,0.0,10.0
7.690600395202637,0.0,10.0
7.710749626159668,0.0,10.0
7.731489658355713,0.0,10.0
7.75155782699585,0.0,10.0
7.771348476409912,0.0,10.0
7.79243016242981,0.0,10.0
7.8127007484436035,0.0,10.0
7.832622289657593,0.0,10.0
7.852856874465942,0.0,10.0
7.873528957366943,0.0,10.0
7.893631219863892,0.0,10.0
7.91359806060791,0.0,10.0
7.934455156326294,0.0,10.0
7.95440149307251,0.0,10.0
7.974436044692993,0.0,10.0
7.994344234466553,0.0,10.0
8.015665769577026,0.0,10.0
8.035514116287231,0.0,10.0
8.070650100708008,0.0,10.0
8.07628870010376,0.0,10.0
8.09657335281372,0.0,10.0
8.11659860610962,0.0,10.0
8.137484788894653,0.0,10.0
8.157532453536987,0.0,10.0
8.177598714828491,0.0,10.0
8.197659730911255,0.0,10.0
8.218522787094116,0.0,10.0
8.238564252853394,0.0,10.0
8.273542404174805,0.0,10.0
8.279325485229492,0.0,10.0
8.29943060874939,0.0,10.0
8.319361686706543,0.0,10.0
8.339500904083252,0.0,10.0
8.360687017440796,0.0,10.0
8.380466222763062,0.0,10.0
8.400486469268799,0.0,10.0
8.421481609344482,0.0,10.0
8.4414701461792,0.0,10.0
8.476377248764038,0.0,10.0
8.482409000396729,0.0,10.0
8.502474546432495,0.0,10.0
8.522695779800415,0.0,10.0
8.542374849319458,0.0,10.0
8.563422679901123,0.0,10.0
8.583457946777344,0.0,10.0
8.603652715682983,0.0,10.0
8.624475002288818,0.0,10.0
8.644629716873169,0.0,10.0
8.679579973220825,0.0,10.0
8.68462586402893,0.0,10.0
8.705495357513428,0.0,10.0
8.725528240203857,0.0,10.0
8.74543809890747,0.0,10.0
